['FRIO3.SA', 0.3798150878243891, 0.7506430708710403, [['high', 13.33880569685751], ['low', 0.9771795028295273], ['null', 0.00174868002088711]], [['null', 0.9147909967845659], ['high', 0.053858520900321546], ['low', 0.03135048231511254]], 1244]
['GEPA3.SA', -0.022325018578158783, 0.08453743551780596, [['high', 0.9669414520263672], ['low', 0.17063499632335843], ['null', 0.0013468986333802688]], [['null', 0.830249396621078], ['low', 0.10136765888978279], ['high', 0.06838294448913917]], 1243]
['GEPA4.SA', 0.03686249994598659, 0.2710620039236325, [['high', 0.7071357899574778], ['low', 0.11221703043523824], ['null', 0.01878861180393826]], [['low', 0.3411102172164119], ['null', 0.33869670152855996], ['high', 0.32019308125502816]], 1243]
['GFSA3.SA', -0.10448929907041347, 0.6819628040123599, [['high', 1.3680071481473886], ['low', 0.25114630842986313], ['null', 0.5185588759344977]], [['low', 0.5916398713826366], ['high', 0.37861736334405144], ['null', 0.0297427652733119]], 1244]
['GGBR3.SA', -0.0202920502021765, 0.2602186685973042, [['high', 0.37818667448356175], ['low', 0.15993049312439897], ['null', 0.1273956298828125]], [['low', 0.5257234726688103], ['high', 0.46141479099678456], ['null', 0.012861736334405145]], 1244]
['GGBR4.SA', -0.01893838502203153, 0.31092272502433066, [['high', 0.4671881262888044], ['low', 0.16643849669662886], ['null', 0.19921188354492186]], [['low', 0.5088424437299035], ['high', 0.4790996784565916], ['null', 0.012057877813504822]], 1244]
['GOAU3.SA', -0.010257219961601822, 0.14983922473104053, [['high', 0.21074137564363152], ['low', 0.09479233327384193], ['null', 0.1271051858600817]], [['low', 0.5032154340836013], ['high', 0.4662379421221865], ['null', 0.03054662379421222]], 1244]
['GOAU4.SA', -0.005024107897779949, 0.16760451579017271, [['high', 0.24785838102429641], ['low', 0.09635222183083589], ['null', 0.127931101568814]], [['low', 0.5112540192926045], ['high', 0.4654340836012862], ['null', 0.023311897106109324]], 1244]
['GOLL4.SA', -0.0486495062660941, 0.39184080495520035, [['high', 0.679481480077461], ['low', 0.1724782091120015], ['null', 0.10857127393995013]], [['low', 0.5546623794212219], ['high', 0.4340836012861736], ['null', 0.011254019292604502]], 1244]
['GPAR3.SA', 0.08201124969261459, 0.44712791228045023, [['high', 10.96065206113069], ['low', 0.9601886677292159], ['null', 0.0006118887787932283]], [['null', 0.9203539823008849], ['low', 0.042638777152051485], ['high', 0.03700724054706356]], 1243]
['GRND3.SA', -0.005385855003185211, 0.13350481082388826, [['high', 0.2026922802825074], ['low', 0.074299365092235], ['null', 0.07909088784998114]], [['low', 0.5048231511254019], ['high', 0.45980707395498394], ['null', 0.03536977491961415]], 1244]
['GUAR3.SA', -0.012451755847194953, 0.2961655868594669, [['high', 0.44664349929146147], ['low', 0.16545311719774283], ['null', 0.2166665924919976]], [['low', 0.5233118971061094], ['high', 0.4622186495176849], ['null', 0.014469453376205787]], 1244]
['HAGA3.SA', 0.0035450168169579707, 0.1162299076843875, [['high', 0.23931567795229275], ['low', 0.06311664093520855], ['null', 0.01182835760401256]], [['low', 0.4204180064308682], ['high', 0.3641479099678457], ['null', 0.21543408360128619]], 1244]
